강수분석,,
[검색조건],,
자료구분 : 일,,
자료형태 : 기본,,
지역/지점 : 북부산,,
기간 : 20240101~20241231,,
,,
날짜,지점,강수량(mm)
2024-08-13,296,
2024-08-14,296,
2024-08-15,296,
2024-08-16,296,
2024-08-17,296,
2024-08-18,296,
2024-08-19,296,0
2024-08-20,296,38
2024-08-21,296,10.5
2024-08-22,296,0
2024-08-23,296,0
2024-08-24,296,
2024-08-25,296,
2024-08-26,296,5
2024-08-27,296,0
2024-08-28,296,2
2024-08-29,296,3
2024-08-30,296,0
2024-08-31,296,
2024-09-01,296,
2024-09-02,296,0
2024-09-03,296,1
2024-09-04,296,
2024-09-05,296,
2024-09-06,296,0
2024-09-07,296,
2024-09-08,296,0
2024-09-09,296,
2024-09-10,296,
2024-09-11,296,5
2024-09-12,296,1.5
2024-09-13,296,
2024-09-14,296,
2024-09-15,296,0
2024-09-16,296,0
2024-09-17,296,
2024-09-18,296,
2024-09-19,296,
2024-09-20,296,33
2024-09-21,296,369
2024-09-22,296,1
2024-09-23,296,
2024-09-24,296,
2024-09-25,296,
2024-09-26,296,
2024-09-27,296,
2024-09-28,296,8
2024-09-29,296,
2024-09-30,296,
2024-10-01,296,0
2024-10-02,296,0
2024-10-03,296,7.5
2024-10-04,296,0.5
2024-10-05,296,
2024-10-06,296,4
2024-10-07,296,4.5
2024-10-08,296,0
2024-10-09,296,
2024-10-10,296,0
2024-10-11,296,1
2024-10-12,296,
2024-10-13,296,
2024-10-14,296,29.5
2024-10-15,296,8.5
2024-10-16,296,
2024-10-17,296,
2024-10-18,296,48.5
2024-10-19,296,1.5
2024-10-20,296,
2024-10-21,296,0.5
2024-10-22,296,75.5
2024-10-23,296,
2024-10-24,296,
2024-10-25,296,
2024-10-26,296,
2024-10-27,296,3.5
2024-10-28,296,0
2024-10-29,296,
2024-10-30,296,
2024-10-31,296,
2024-11-01,296,38.5
2024-11-02,296,20.5
2024-11-03,296,
2024-11-04,296,
2024-11-05,296,
2024-11-06,296,
2024-11-07,296,
2024-11-08,296,
2024-11-09,296,
2024-11-10,296,
2024-11-11,296,
2024-11-12,296,
2024-11-13,296,
2024-11-14,296,
2024-11-15,296,0
2024-11-16,296,
2024-11-17,296,
2024-11-18,296,
2024-11-19,296,
2024-11-20,296,
2024-11-21,296,
2024-11-22,296,
2024-11-23,296,
2024-11-24,296,
2024-11-25,296,0
2024-11-26,296,23
2024-11-27,296,0
2024-11-28,296,
2024-11-29,296,0
2024-11-30,296,
2024-12-01,296,0
2024-12-02,296,
2024-12-03,296,
2024-12-04,296,
2024-12-05,296,
2024-12-06,296,
2024-12-07,296,
2024-12-08,296,
2024-12-09,296,
2024-12-10,296,
2024-12-11,296,
2024-12-12,296,
2024-12-13,296,
2024-12-14,296,
2024-12-15,296,
2024-12-16,296,
2024-12-17,296,
2024-12-18,296,
2024-12-19,296,
2024-12-20,296,
2024-12-21,296,0
2024-12-22,296,
2024-12-23,296,
2024-12-24,296,
2024-12-25,296,
2024-12-26,296,
2024-12-27,296,
2024-12-28,296,0
2024-12-29,296,
2024-12-30,296,
2024-12-31,296,
